data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,28,3,5,-2,1,1,478.7,640.5,478.7,640.5,159.56666666666666,128.1,0.065,0.11,0.269,0.212
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,27,3,8,-5,1,1,478.7,965.2,478.7,965.2,159.56666666666666,120.65,0.065,0.157,0.269,0.223
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,26,3,10,-7,1,1,478.7,1314.22,478.7,1353.0,159.56666666666666,135.3,0.065,0.202,0.269,0.243
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,25,3,10,-7,1,1,478.7,1314.22,478.7,1353.0,159.56666666666666,135.3,0.065,0.202,0.269,0.243
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,24,7,10,-3,1,1,990.71,1314.22,1008.3,1353.0,144.04285714285714,135.3,0.125,0.202,0.292,0.243
2026-06-03,2026-04-01,BHZ-MCE,BHZ-MCE,23,7,11,-4,1,1,990.71,1535.12,1008.3,1573.9,144.04285714285714,143.0818181818182,0.125,0.223,0.292,0.256
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,44,13,1,12,2,1,1770.7,149.58,1770.7,179.9,136.2076923076923,179.9,0.102,0.016,0.327,0.432
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,44,6,1,5,2,1,719.4,169.9,719.4,169.9,119.89999999999999,169.9,0.046,0.017,0.295,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,43,14,1,13,2,1,1882.6,149.58,1882.6,179.9,134.47142857142856,179.9,0.109,0.016,0.323,0.432
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,43,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,42,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,42,14,1,13,2,1,1882.6,149.58,1882.6,179.9,134.47142857142856,179.9,0.109,0.016,0.323,0.432
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,41,14,1,13,2,1,1882.6,149.58,1882.6,179.9,134.47142857142856,179.9,0.109,0.016,0.323,0.432
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,41,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,40,15,1,14,2,1,1988.9,149.58,1994.5,179.9,132.96666666666667,179.9,0.117,0.016,0.32,0.432
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,40,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,39,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,39,15,1,14,2,1,1988.9,149.58,1994.5,179.9,132.96666666666667,179.9,0.117,0.016,0.32,0.432
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,38,8,1,7,2,1,909.2,169.9,909.2,169.9,113.64999999999999,169.9,0.062,0.017,0.278,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,38,17,1,16,2,1,2287.7,149.58,2293.3,179.9,134.9,179.9,0.132,0.016,0.327,0.432
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,37,17,2,15,2,1,2287.7,362.48,2293.3,392.8,134.9,196.4,0.132,0.031,0.327,0.472
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,37,9,1,8,2,1,1011.1,169.9,1011.1,169.9,112.34444444444443,169.9,0.069,0.017,0.275,0.41
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,36,9,1,8,2,1,1011.1,169.9,1011.1,169.9,112.34444444444443,169.9,0.069,0.017,0.275,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,36,17,2,15,2,1,2287.7,362.48,2293.3,392.8,134.9,196.4,0.132,0.031,0.327,0.472
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,35,17,3,14,2,1,2287.7,575.38,2293.3,605.7,134.9,201.9,0.132,0.047,0.327,0.485
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,35,10,1,9,2,1,1113.0,169.9,1113.0,169.9,111.3,169.9,0.077,0.017,0.272,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,34,17,3,14,2,1,2287.7,575.38,2293.3,605.7,134.9,201.9,0.132,0.047,0.327,0.485
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,34,9,1,8,2,1,1011.1,169.9,1011.1,169.9,112.34444444444443,169.9,0.069,0.017,0.275,0.41
2026-06-03,2026-04-01,MCL-BHZ,BHZ-MCL,33,9,1,8,2,1,1011.1,169.9,1011.1,169.9,112.34444444444443,169.9,0.069,0.017,0.275,0.41
2026-06-03,2026-04-01,BHZ-MCL,BHZ-MCL,33,17,4,13,2,1,2287.7,755.28,2293.3,785.6,134.9,196.4,0.132,0.063,0.327,0.472
