output_label,periodo_historico,periodo_atual,secao,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,tkm_atual,preco_atual,mult_atual,data_atualizacao
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CRG-SAO,CRG-SAO,semi leito,MANHA,31.9,52.9,1.1904909090909095,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,CRG-SAO,SAO-CRG,semi leito,MANHA,47.9,67.9,1.3243652037617535,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,OLP-SAO,SAO-OLP,semi leito,MANHA,,145.26,1.457657142857144,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,cama premium,MANHA,,,1.158499622926093,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,cama premium individual,MANHA,,,1.158499622926093,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,RAO-SAO,semi leito,MANHA,70.47,90.9,1.158499622926093,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RAO-SAO,SAO-RAO,semi leito,MANHA,87.23,89.9,1.1537372526636245,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito cama,MANHA,,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,semi leito,MANHA,60.98,89.9,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito individual,MANHA,60.98,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito,MANHA,60.98,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,RIO-SAO,leito cama individual,MANHA,,,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,SAO-RIO,semi leito,MANHA,67.8,84.69,1.0,
julho_2026,julho_2025,julho_2026,alteracoes_preco,2026-07-02,5,21,RIO-SAO,SAO-RIO,leito,MANHA,67.8,,1.0,
