metrica,julho_2025,julho_2026
01. RASK,0.01275872971499908,0.013701425996490846
02. Yield,0.2092348365987477,0.22452623464617943
03. Buscas,,
04. Grupos Realizados,7808.0,11205.0
05. Pax Total,21146.0,27432.0
06. ASK,190727561.0,251555598.0
07. RPK,11312551.0,14904108.0
08. Load Factor,0.0593126181695366,0.059247769155190894
09. Ticket Médio,111.93510640310222,121.98757837561972
10. GMV,2433441.3999999994,3446670.41
