metrica,pascoa_2026,atual
01. RASK,0.03831937114814749,0.04424083858079043
02. Yield,0.30690346078362607,0.31082666348173527
03. Buscas,412873.0,553024.0
04. Grupos Realizados,1324.0,1749.0
05. Pax Total,7341.0,10509.0
06. ASK,29574406.0,37589318.0
07. RPK,3692603.0,5350194.0
08. Load Factor,0.12485806139267852,0.14233282976828682
09. Ticket Médio,154.37578531535215,158.24369112189544
10. GMV,1170499.1700000002,1718029.6099999994
