data_julho_2026,data_ref_julho_2025,eixo_sentido,rota_principal,antecedencia,pax_atual,grupos_atual,cash_atual,gmv_atual,pax_julho25,grupos_julho25,cash_julho25,gmv_julho25,ticket_medio_atual,lf_atual,yield_atual,ticket_medio_julho25,lf_julho25
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,33,15,2,2344.46,2352.46,0,1,0.0,0.0,156.29733333333334,0.167,0.214,,0.0
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,32,15,2,2344.46,2352.46,0,1,0.0,0.0,156.29733333333334,0.167,0.214,,0.0
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,32,11,2,1625.9,1625.9,5,2,464.5,464.5,147.8090909090909,0.121,0.199,92.9,0.054
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,31,11,2,1625.9,1625.9,5,2,464.5,464.5,147.8090909090909,0.121,0.199,92.9,0.054
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,31,15,2,2344.46,2352.46,0,1,0.0,0.0,156.29733333333334,0.167,0.214,,0.0
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,30,15,2,2344.46,2352.46,0,1,0.0,0.0,156.29733333333334,0.167,0.214,,0.0
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,30,11,2,1625.9,1625.9,3,2,272.7,272.7,147.8090909090909,0.121,0.199,90.89999999999999,0.033
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,29,11,2,1625.9,1625.9,3,2,272.7,272.7,147.8090909090909,0.121,0.199,90.89999999999999,0.033
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,29,16,2,2438.36,2446.36,1,1,117.9,117.9,152.3975,0.178,0.208,117.9,0.022
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,28,18,2,2609.89,2648.16,1,1,117.9,117.9,144.99388888888888,0.2,0.198,117.9,0.022
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,28,11,2,1625.9,1625.9,3,2,272.7,272.7,147.8090909090909,0.121,0.199,90.89999999999999,0.033
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,27,18,2,2609.89,2648.16,1,1,117.9,117.9,144.99388888888888,0.2,0.198,117.9,0.022
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,27,11,2,1625.9,1669.9,3,2,272.7,272.7,147.8090909090909,0.122,0.198,90.89999999999999,0.033
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,26,11,2,1625.9,1669.9,3,2,272.7,272.7,147.8090909090909,0.122,0.198,90.89999999999999,0.033
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,26,18,2,2609.89,2648.16,1,1,117.9,117.9,144.99388888888888,0.2,0.198,117.9,0.022
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,25,13,2,2001.7,2045.7,3,2,272.7,272.7,153.97692307692307,0.144,0.206,90.89999999999999,0.033
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,25,18,2,2609.89,2648.16,3,1,365.7,365.7,144.99388888888888,0.2,0.198,121.89999999999999,0.067
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,24,13,2,2001.7,2045.7,6,2,689.4,689.4,153.97692307692307,0.144,0.206,114.89999999999999,0.065
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,24,18,2,2609.89,2648.16,3,1,365.7,365.7,144.99388888888888,0.2,0.198,121.89999999999999,0.067
2026-07-02,2025-07-03,BHZ-BSB,BHZ-BSB,23,19,2,2787.25,2825.52,3,1,365.7,365.7,146.6973684210526,0.211,0.2,121.89999999999999,0.067
2026-07-02,2025-07-03,BSB-BHZ,BHZ-BSB,23,13,2,2001.7,2045.7,6,2,689.4,689.4,153.97692307692307,0.144,0.206,114.89999999999999,0.065
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,44,0,5,0.0,0.0,3,1,212.7,212.7,,0.0,,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,44,24,5,2948.75,3167.6,2,2,157.8,157.8,122.86458333333333,0.092,0.223,78.9,0.011
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,43,0,5,0.0,0.0,3,1,212.7,212.7,,0.0,,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,43,24,5,2948.75,3167.6,2,2,157.8,157.8,122.86458333333333,0.092,0.223,78.9,0.011
2026-07-02,2025-07-03,CAB-BHZ,BHZ-CAB,42,0,5,0.0,0.0,3,1,212.7,212.7,,0.0,,70.89999999999999,0.037
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,42,24,5,2948.75,3167.6,2,2,157.8,157.8,122.86458333333333,0.092,0.223,78.9,0.011
2026-07-02,2025-07-03,BHZ-CAB,BHZ-CAB,41,24,5,2948.75,3167.6,2,2,157.8,157.8,122.86458333333333,0.092,0.223,78.9,0.011
