regional,slot,data,data_ref_julho_2025,metrica,julho_2025,atual
Reg. MG,extra,2026-07-24,2025-07-25,08. Ticket Médio,,
Reg. MG,extra,2026-07-24,2025-07-25,09. GMV,,0.0
Reg. MG,extra,2026-07-26,2025-07-27,01. RASK,,0.0
Reg. MG,extra,2026-07-26,2025-07-27,02. Yield,,
Reg. MG,extra,2026-07-26,2025-07-27,03. Grupos Realizados,,1.0
Reg. MG,extra,2026-07-26,2025-07-27,04. Pax Total,,0.0
Reg. MG,extra,2026-07-26,2025-07-27,05. ASK,,20378.0
Reg. MG,extra,2026-07-26,2025-07-27,06. RPK,,0.0
Reg. MG,extra,2026-07-26,2025-07-27,07. Load Factor,,0.0
Reg. MG,extra,2026-07-26,2025-07-27,08. Ticket Médio,,
Reg. MG,extra,2026-07-26,2025-07-27,09. GMV,,0.0
Reg. MG,fixo,2026-07-02,2025-07-03,01. RASK,0.016806410592947275,0.019058307604952716
Reg. MG,fixo,2026-07-02,2025-07-03,02. Yield,0.19440642952474904,0.21778009536045004
Reg. MG,fixo,2026-07-02,2025-07-03,03. Grupos Realizados,116.0,151.0
Reg. MG,fixo,2026-07-02,2025-07-03,04. Pax Total,467.0,585.0
Reg. MG,fixo,2026-07-02,2025-07-03,05. ASK,3131442.0,4010163.0
Reg. MG,fixo,2026-07-02,2025-07-03,06. RPK,258495.0,337037.0
Reg. MG,fixo,2026-07-02,2025-07-03,07. Load Factor,0.08254823177309367,0.08404571086013211
Reg. MG,fixo,2026-07-02,2025-07-03,08. Ticket Médio,107.60832976445398,125.47
Reg. MG,fixo,2026-07-02,2025-07-03,09. GMV,52628.30000000001,76426.92
Reg. MG,fixo,2026-07-03,2025-07-04,01. RASK,0.018325813584532846,0.016799413494189126
Reg. MG,fixo,2026-07-03,2025-07-04,02. Yield,0.21709788591121856,0.21916399988847549
Reg. MG,fixo,2026-07-03,2025-07-04,03. Grupos Realizados,141.0,169.0
Reg. MG,fixo,2026-07-03,2025-07-04,04. Pax Total,563.0,576.0
Reg. MG,fixo,2026-07-03,2025-07-04,05. ASK,3633765.0,4346419.0
Reg. MG,fixo,2026-07-03,2025-07-04,06. RPK,291615.0,322799.0
Reg. MG,fixo,2026-07-03,2025-07-04,07. Load Factor,0.08025147471011472,0.07426780528982595
Reg. MG,fixo,2026-07-03,2025-07-04,08. Ticket Médio,112.44937833037301,122.82277777777777
Reg. MG,fixo,2026-07-03,2025-07-04,09. GMV,66591.7,73017.29
Reg. MG,fixo,2026-07-04,2025-07-05,01. RASK,0.013976061357923914,0.01245343665911752
Reg. MG,fixo,2026-07-04,2025-07-05,02. Yield,0.20852164889017008,0.2113715225620381
Reg. MG,fixo,2026-07-04,2025-07-05,03. Grupos Realizados,54.0,87.0
Reg. MG,fixo,2026-07-04,2025-07-05,04. Pax Total,167.0,232.0
Reg. MG,fixo,2026-07-04,2025-07-05,05. ASK,1361063.0,2300039.0
Reg. MG,fixo,2026-07-04,2025-07-05,06. RPK,86725.0,133144.0
Reg. MG,fixo,2026-07-04,2025-07-05,07. Load Factor,0.0637185787873155,0.05788771407789172
Reg. MG,fixo,2026-07-04,2025-07-05,08. Ticket Médio,108.28766467065867,121.3053879310345
Reg. MG,fixo,2026-07-04,2025-07-05,09. GMV,19022.3,28643.39
Reg. MG,fixo,2026-07-05,2025-07-06,01. RASK,0.018592690924283287,0.021625859196761254
Reg. MG,fixo,2026-07-05,2025-07-06,02. Yield,0.24679244108329826,0.24785572265583689
Reg. MG,fixo,2026-07-05,2025-07-06,03. Grupos Realizados,141.0,173.0
Reg. MG,fixo,2026-07-05,2025-07-06,04. Pax Total,532.0,683.0
Reg. MG,fixo,2026-07-05,2025-07-06,05. ASK,3724356.0,4451105.0
Reg. MG,fixo,2026-07-05,2025-07-06,06. RPK,273055.0,378216.0
Reg. MG,fixo,2026-07-05,2025-07-06,07. Load Factor,0.07331603101314697,0.08497125994556408
Reg. MG,fixo,2026-07-05,2025-07-06,08. Ticket Médio,126.6690037593985,137.2518301610542
Reg. MG,fixo,2026-07-05,2025-07-06,09. GMV,69245.8,96258.97
Reg. MG,fixo,2026-07-06,2025-07-07,01. RASK,0.008529383192049588,0.012161890411366389
Reg. MG,fixo,2026-07-06,2025-07-07,02. Yield,0.21061684583240292,0.19628487454699936
Reg. MG,fixo,2026-07-06,2025-07-07,03. Grupos Realizados,118.0,148.0
Reg. MG,fixo,2026-07-06,2025-07-07,04. Pax Total,230.0,405.0
Reg. MG,fixo,2026-07-06,2025-07-07,05. ASK,3170452.0,3899638.0
Reg. MG,fixo,2026-07-06,2025-07-07,06. RPK,125396.0,230684.0
Reg. MG,fixo,2026-07-06,2025-07-07,07. Load Factor,0.03955145827787331,0.05915523440893745
Reg. MG,fixo,2026-07-06,2025-07-07,08. Ticket Médio,114.82830434782609,111.80192592592593
Reg. MG,fixo,2026-07-06,2025-07-07,09. GMV,27042.0,47426.97
Reg. MG,fixo,2026-07-07,2025-07-08,01. RASK,0.009704763776398168,0.01205059522914794
Reg. MG,fixo,2026-07-07,2025-07-08,02. Yield,0.18060564195433415,0.20532807167735806
Reg. MG,fixo,2026-07-07,2025-07-08,03. Grupos Realizados,76.0,110.0
Reg. MG,fixo,2026-07-07,2025-07-08,04. Pax Total,188.0,285.0
Reg. MG,fixo,2026-07-07,2025-07-08,05. ASK,2050663.0,2993721.0
Reg. MG,fixo,2026-07-07,2025-07-08,06. RPK,107126.0,170542.0
Reg. MG,fixo,2026-07-07,2025-07-08,07. Load Factor,0.05223969028553205,0.05696656435252317
Reg. MG,fixo,2026-07-07,2025-07-08,08. Ticket Médio,102.91255319148937,122.86687719298247
Reg. MG,fixo,2026-07-07,2025-07-08,09. GMV,19901.199999999997,36076.119999999995
Reg. MG,fixo,2026-07-08,2025-07-09,01. RASK,0.01281305317789456,0.017511883204883626
Reg. MG,fixo,2026-07-08,2025-07-09,02. Yield,0.1981700005413599,0.2071188912607753
Reg. MG,fixo,2026-07-08,2025-07-09,03. Grupos Realizados,83.0,111.0
Reg. MG,fixo,2026-07-08,2025-07-09,04. Pax Total,253.0,410.0
Reg. MG,fixo,2026-07-08,2025-07-09,05. ASK,2348363.0,3033483.0
Reg. MG,fixo,2026-07-08,2025-07-09,06. RPK,147776.0,245468.0
Reg. MG,fixo,2026-07-08,2025-07-09,07. Load Factor,0.06292723910230233,0.08091952386085566
Reg. MG,fixo,2026-07-08,2025-07-09,08. Ticket Médio,115.7500790513834,124.00258536585368
Reg. MG,fixo,2026-07-08,2025-07-09,09. GMV,30089.7,53122.00000000001
Reg. MG,fixo,2026-07-09,2025-07-10,01. RASK,0.013190372365859255,0.014967508338103628
Reg. MG,fixo,2026-07-09,2025-07-10,02. Yield,0.2075661825991471,0.211510366523384
Reg. MG,fixo,2026-07-09,2025-07-10,03. Grupos Realizados,134.0,162.0
Reg. MG,fixo,2026-07-09,2025-07-10,04. Pax Total,401.0,531.0
Reg. MG,fixo,2026-07-09,2025-07-10,05. ASK,3668274.0,4286946.0
Reg. MG,fixo,2026-07-09,2025-07-10,06. RPK,226759.0,294988.0
Reg. MG,fixo,2026-07-09,2025-07-10,07. Load Factor,0.06181626563337417,0.06881075712173655
Reg. MG,fixo,2026-07-09,2025-07-10,08. Ticket Médio,117.37531172069828,117.50097928436912
Reg. MG,fixo,2026-07-09,2025-07-10,09. GMV,48385.9,64164.9
Reg. MG,fixo,2026-07-10,2025-07-11,01. RASK,0.016217842179531178,0.018091276503087585
Reg. MG,fixo,2026-07-10,2025-07-11,02. Yield,0.2420990541606572,0.2349171217402164
Reg. MG,fixo,2026-07-10,2025-07-11,03. Grupos Realizados,149.0,184.0
Reg. MG,fixo,2026-07-10,2025-07-11,04. Pax Total,455.0,621.0
Reg. MG,fixo,2026-07-10,2025-07-11,05. ASK,3858004.0,4748692.0
Reg. MG,fixo,2026-07-10,2025-07-11,06. RPK,250994.0,352324.0
Reg. MG,fixo,2026-07-10,2025-07-11,07. Load Factor,0.06505799371903191,0.07419390434250105
Reg. MG,fixo,2026-07-10,2025-07-11,08. Ticket Médio,133.55035164835164,133.2800966183575
Reg. MG,fixo,2026-07-10,2025-07-11,09. GMV,62568.49999999999,85909.9
Reg. MG,fixo,2026-07-11,2025-07-12,01. RASK,0.020198656642449676,0.012867951840522338
Reg. MG,fixo,2026-07-11,2025-07-12,02. Yield,0.23707924464677124,0.21280089005986064
Reg. MG,fixo,2026-07-11,2025-07-12,03. Grupos Realizados,56.0,97.0
Reg. MG,fixo,2026-07-11,2025-07-12,04. Pax Total,233.0,263.0
Reg. MG,fixo,2026-07-11,2025-07-12,05. ASK,1422555.0,2489728.0
Reg. MG,fixo,2026-07-11,2025-07-12,06. RPK,118620.0,146507.0
Reg. MG,fixo,2026-07-11,2025-07-12,07. Load Factor,0.08338517667155224,0.05884458061282196
Reg. MG,fixo,2026-07-11,2025-07-12,08. Ticket Médio,120.69673819742489,118.54304182509506
Reg. MG,fixo,2026-07-11,2025-07-12,09. GMV,28733.7,32037.7
Reg. MG,fixo,2026-07-12,2025-07-13,01. RASK,0.015437922259513646,0.017876679103782045
Reg. MG,fixo,2026-07-12,2025-07-13,02. Yield,0.2594793519111632,0.27607359902972134
Reg. MG,fixo,2026-07-12,2025-07-13,03. Grupos Realizados,148.0,187.0
Reg. MG,fixo,2026-07-12,2025-07-13,04. Pax Total,404.0,560.0
Reg. MG,fixo,2026-07-12,2025-07-13,05. ASK,3844792.0,4828022.0
Reg. MG,fixo,2026-07-12,2025-07-13,06. RPK,223241.0,306716.0
Reg. MG,fixo,2026-07-12,2025-07-13,07. Load Factor,0.05806321902459223,0.0635282937815942
Reg. MG,fixo,2026-07-12,2025-07-13,08. Ticket Médio,143.38225247524755,151.20748214285715
Reg. MG,fixo,2026-07-12,2025-07-13,09. GMV,59355.6,86308.99999999999
Reg. MG,fixo,2026-07-13,2025-07-14,01. RASK,0.01205516693990457,0.012543225534697602
Reg. MG,fixo,2026-07-13,2025-07-14,02. Yield,0.2132481924612336,0.20559334922078332
Reg. MG,fixo,2026-07-13,2025-07-14,03. Grupos Realizados,119.0,164.0
Reg. MG,fixo,2026-07-13,2025-07-14,04. Pax Total,305.0,444.0
Reg. MG,fixo,2026-07-13,2025-07-14,05. ASK,3134631.0,4297055.0
Reg. MG,fixo,2026-07-13,2025-07-14,06. RPK,171089.0,255128.0
Reg. MG,fixo,2026-07-13,2025-07-14,07. Load Factor,0.05458026798050552,0.05937275645762039
Reg. MG,fixo,2026-07-13,2025-07-14,08. Ticket Médio,119.62104918032786,118.13653153153152
Reg. MG,fixo,2026-07-13,2025-07-14,09. GMV,37788.5,53898.93
Reg. MG,fixo,2026-07-14,2025-07-15,01. RASK,0.012556508246999958,0.014453318830051713
Reg. MG,fixo,2026-07-14,2025-07-15,02. Yield,0.2163691167649895,0.21609375229102212
Reg. MG,fixo,2026-07-14,2025-07-15,03. Grupos Realizados,86.0,119.0
Reg. MG,fixo,2026-07-14,2025-07-15,04. Pax Total,234.0,357.0
Reg. MG,fixo,2026-07-14,2025-07-15,05. ASK,2348551.0,3155148.0
Reg. MG,fixo,2026-07-14,2025-07-15,06. RPK,131709.0,204603.0
Reg. MG,fixo,2026-07-14,2025-07-15,07. Load Factor,0.0560809622614114,0.06484735422870813
Reg. MG,fixo,2026-07-14,2025-07-15,08. Ticket Médio,121.78529914529915,123.84714285714284
Reg. MG,fixo,2026-07-14,2025-07-15,09. GMV,29489.599999999995,45602.36
Reg. MG,fixo,2026-07-15,2025-07-16,01. RASK,0.017594140227448363,0.017852772895310072
Reg. MG,fixo,2026-07-15,2025-07-16,02. Yield,0.21731393847565594,0.2171482131617322
Reg. MG,fixo,2026-07-15,2025-07-16,03. Grupos Realizados,87.0,120.0
Reg. MG,fixo,2026-07-15,2025-07-16,04. Pax Total,329.0,435.0
Reg. MG,fixo,2026-07-15,2025-07-16,05. ASK,2368010.0,3224121.0
Reg. MG,fixo,2026-07-15,2025-07-16,06. RPK,187438.0,255787.0
Reg. MG,fixo,2026-07-15,2025-07-16,07. Load Factor,0.07915422654465142,0.0793354219646223
Reg. MG,fixo,2026-07-15,2025-07-16,08. Ticket Médio,123.80817629179332,127.6866436781609
Reg. MG,fixo,2026-07-15,2025-07-16,09. GMV,41663.09999999999,57559.5
Reg. MG,fixo,2026-07-16,2025-07-17,01. RASK,0.01650485409213709,0.023524916570383907
Reg. MG,fixo,2026-07-16,2025-07-17,02. Yield,0.21976038902931067,0.24199186991869914
Reg. MG,fixo,2026-07-16,2025-07-17,03. Grupos Realizados,134.0,170.0
Reg. MG,fixo,2026-07-16,2025-07-17,04. Pax Total,443.0,748.0
Reg. MG,fixo,2026-07-16,2025-07-17,05. ASK,3507556.0,4496305.0
Reg. MG,fixo,2026-07-16,2025-07-17,06. RPK,254788.0,421398.0
Reg. MG,fixo,2026-07-16,2025-07-17,07. Load Factor,0.07263975257985902,0.09372095531775536
Reg. MG,fixo,2026-07-16,2025-07-17,08. Ticket Médio,126.39347629796839,136.33006684491977
Reg. MG,fixo,2026-07-16,2025-07-17,09. GMV,57891.7,105775.2
Reg. MG,fixo,2026-07-17,2025-07-18,01. RASK,0.023914744306521525,0.028790946399701527
Reg. MG,fixo,2026-07-17,2025-07-18,02. Yield,0.24012941733306187,0.2438092450334518
Reg. MG,fixo,2026-07-17,2025-07-18,03. Grupos Realizados,147.0,187.0
Reg. MG,fixo,2026-07-17,2025-07-18,04. Pax Total,655.0,972.0
Reg. MG,fixo,2026-07-17,2025-07-18,05. ASK,3817833.0,4824600.0
Reg. MG,fixo,2026-07-17,2025-07-18,06. RPK,363398.0,546607.0
Reg. MG,fixo,2026-07-17,2025-07-18,07. Load Factor,0.09518436243806369,0.11329581726982547
Reg. MG,fixo,2026-07-17,2025-07-18,08. Ticket Médio,133.22526717557255,137.10683127572014
Reg. MG,fixo,2026-07-17,2025-07-18,09. GMV,91302.50000000001,138904.8
Reg. MG,fixo,2026-07-18,2025-07-19,01. RASK,0.020891360859386827,0.021647061047150352
Reg. MG,fixo,2026-07-18,2025-07-19,02. Yield,0.2113099053011252,0.2187651071844197
Reg. MG,fixo,2026-07-18,2025-07-19,03. Grupos Realizados,58.0,99.0
Reg. MG,fixo,2026-07-18,2025-07-19,04. Pax Total,254.0,416.0
Reg. MG,fixo,2026-07-18,2025-07-19,05. ASK,1446799.0,2539578.0
Reg. MG,fixo,2026-07-18,2025-07-19,06. RPK,139178.0,243179.0
Reg. MG,fixo,2026-07-18,2025-07-19,07. Load Factor,0.09619719117859496,0.09575567279288133
Reg. MG,fixo,2026-07-18,2025-07-19,08. Ticket Médio,115.78618110236222,127.88240384615385
Reg. MG,fixo,2026-07-18,2025-07-19,09. GMV,30225.600000000002,54974.399999999994
Reg. MG,fixo,2026-07-19,2025-07-20,01. RASK,0.02268823915144263,0.026792639398880515
Reg. MG,fixo,2026-07-19,2025-07-20,02. Yield,0.2820395887813448,0.27897064234504443
Reg. MG,fixo,2026-07-19,2025-07-20,03. Grupos Realizados,137.0,188.0
Reg. MG,fixo,2026-07-19,2025-07-20,04. Pax Total,489.0,806.0
Reg. MG,fixo,2026-07-19,2025-07-20,05. ASK,3476960.0,4832051.0
Reg. MG,fixo,2026-07-19,2025-07-20,06. RPK,272653.0,448435.0
Reg. MG,fixo,2026-07-19,2025-07-20,07. Load Factor,0.07841706548249044,0.09280427710717458
Reg. MG,fixo,2026-07-19,2025-07-20,08. Ticket Médio,157.25754601226993,155.21116625310174
Reg. MG,fixo,2026-07-19,2025-07-20,09. GMV,78886.09999999999,129463.4
Reg. MG,fixo,2026-07-20,2025-07-21,01. RASK,0.01192644370475002,0.016591674570793552
Reg. MG,fixo,2026-07-20,2025-07-21,02. Yield,0.23024311183144247,0.2274047914415676
Reg. MG,fixo,2026-07-20,2025-07-21,03. Grupos Realizados,117.0,163.0
Reg. MG,fixo,2026-07-20,2025-07-21,04. Pax Total,262.0,512.0
Reg. MG,fixo,2026-07-20,2025-07-21,05. ASK,3056217.0,4247781.0
Reg. MG,fixo,2026-07-20,2025-07-21,06. RPK,153633.0,299868.0
Reg. MG,fixo,2026-07-20,2025-07-21,07. Load Factor,0.05026900903960681,0.07059403486196675
Reg. MG,fixo,2026-07-20,2025-07-21,08. Ticket Médio,135.01122137404582,133.1863671875
Reg. MG,fixo,2026-07-20,2025-07-21,09. GMV,36449.8,70477.79999999999
Reg. MG,fixo,2026-07-21,2025-07-22,01. RASK,0.016648558528308273,0.02022314364896611
Reg. MG,fixo,2026-07-21,2025-07-22,02. Yield,0.22258840395030266,0.24736631566327652
Reg. MG,fixo,2026-07-21,2025-07-22,03. Grupos Realizados,85.0,118.0
Reg. MG,fixo,2026-07-21,2025-07-22,04. Pax Total,319.0,428.0
Reg. MG,fixo,2026-07-21,2025-07-22,05. ASK,2400394.0,3098094.0
Reg. MG,fixo,2026-07-21,2025-07-22,06. RPK,175784.0,250235.0
Reg. MG,fixo,2026-07-21,2025-07-22,07. Load Factor,0.07323131119307913,0.08077062865103513
Reg. MG,fixo,2026-07-21,2025-07-22,08. Ticket Médio,122.65667711598745,144.62549065420563
Reg. MG,fixo,2026-07-21,2025-07-22,09. GMV,39963.100000000006,62653.200000000004
Reg. MG,fixo,2026-07-22,2025-07-23,01. RASK,0.01740495198122475,0.019903359556252144
Reg. MG,fixo,2026-07-22,2025-07-23,02. Yield,0.20940751773817903,0.2388530837191686
Reg. MG,fixo,2026-07-22,2025-07-23,03. Grupos Realizados,84.0,119.0
Reg. MG,fixo,2026-07-22,2025-07-23,04. Pax Total,325.0,440.0
Reg. MG,fixo,2026-07-22,2025-07-23,05. ASK,2359702.0,3167204.0
Reg. MG,fixo,2026-07-22,2025-07-23,06. RPK,184630.0,258746.0
Reg. MG,fixo,2026-07-22,2025-07-23,07. Load Factor,0.07824293067514457,0.08169540073831683
Reg. MG,fixo,2026-07-22,2025-07-23,08. Ticket Médio,118.96279999999999,140.45972727272726
Reg. MG,fixo,2026-07-22,2025-07-23,09. GMV,41070.49999999999,63038.00000000001
Reg. MG,fixo,2026-07-23,2025-07-24,01. RASK,0.014936570062104436,0.01911227171112171
Reg. MG,fixo,2026-07-23,2025-07-24,02. Yield,0.21138882095001832,0.22644886897177416
Reg. MG,fixo,2026-07-23,2025-07-24,03. Grupos Realizados,121.0,163.0
Reg. MG,fixo,2026-07-23,2025-07-24,04. Pax Total,407.0,612.0
Reg. MG,fixo,2026-07-23,2025-07-24,05. ASK,3323273.0,4283991.0
Reg. MG,fixo,2026-07-23,2025-07-24,06. RPK,228964.0,346101.0
Reg. MG,fixo,2026-07-23,2025-07-24,07. Load Factor,0.06889713845356671,0.08078938541187411
Reg. MG,fixo,2026-07-23,2025-07-24,08. Ticket Médio,118.91997542997544,128.06238562091508
Reg. MG,fixo,2026-07-23,2025-07-24,09. GMV,49638.3,81876.8
Reg. MG,fixo,2026-07-24,2025-07-25,01. RASK,0.0139906297135827,0.01904666198492433
Reg. MG,fixo,2026-07-24,2025-07-25,02. Yield,0.22920712936485657,0.23203876806446513
Reg. MG,fixo,2026-07-24,2025-07-25,03. Grupos Realizados,132.0,182.0
Reg. MG,fixo,2026-07-24,2025-07-25,04. Pax Total,367.0,649.0
Reg. MG,fixo,2026-07-24,2025-07-25,05. ASK,3560190.0,4662082.0
Reg. MG,fixo,2026-07-24,2025-07-25,06. RPK,210173.0,373039.0
Reg. MG,fixo,2026-07-24,2025-07-25,07. Load Factor,0.05903420884840416,0.08001553812223809
Reg. MG,fixo,2026-07-24,2025-07-25,08. Ticket Médio,131.26198910081743,133.37366718027735
Reg. MG,fixo,2026-07-24,2025-07-25,09. GMV,49809.3,88797.1
Reg. MG,fixo,2026-07-25,2025-07-26,01. RASK,0.023236708343521702,0.015952846371881865
Reg. MG,fixo,2026-07-25,2025-07-26,02. Yield,0.24318194480717334,0.24016165611335885
Reg. MG,fixo,2026-07-25,2025-07-26,03. Grupos Realizados,45.0,99.0
Reg. MG,fixo,2026-07-25,2025-07-26,04. Pax Total,211.0,297.0
Reg. MG,fixo,2026-07-25,2025-07-26,05. ASK,1230979.0,2523581.0
Reg. MG,fixo,2026-07-25,2025-07-26,06. RPK,114870.0,165351.0
Reg. MG,fixo,2026-07-25,2025-07-26,07. Load Factor,0.09331597045928484,0.06552236682713969
Reg. MG,fixo,2026-07-25,2025-07-26,08. Ticket Médio,132.39009478672986,133.7069696969697
Reg. MG,fixo,2026-07-25,2025-07-26,09. GMV,28603.899999999998,40258.3
Reg. MG,fixo,2026-07-26,2025-07-27,01. RASK,0.018136242284995194,0.02353986723988355
Reg. MG,fixo,2026-07-26,2025-07-27,02. Yield,0.2679293108279625,0.28572690613753826
Reg. MG,fixo,2026-07-26,2025-07-27,03. Grupos Realizados,137.0,186.0
Reg. MG,fixo,2026-07-26,2025-07-27,04. Pax Total,438.0,704.0
Reg. MG,fixo,2026-07-26,2025-07-27,05. ASK,3649058.0,4769806.0
Reg. MG,fixo,2026-07-26,2025-07-27,06. RPK,242668.0,387354.0
Reg. MG,fixo,2026-07-26,2025-07-27,07. Load Factor,0.0665015464265024,0.08120959217209253
Reg. MG,fixo,2026-07-26,2025-07-27,08. Ticket Médio,148.44262557077627,157.21230113636364
Reg. MG,fixo,2026-07-26,2025-07-27,09. GMV,66180.20000000001,112280.59999999999
Reg. MG,fixo,2026-07-27,2025-07-28,01. RASK,0.010396399750112114,0.014638660954127601
Reg. MG,fixo,2026-07-27,2025-07-28,02. Yield,0.22773418592041053,0.23177020205836574
Reg. MG,fixo,2026-07-27,2025-07-28,03. Grupos Realizados,125.0,162.0
Reg. MG,fixo,2026-07-27,2025-07-28,04. Pax Total,272.0,444.0
Reg. MG,fixo,2026-07-27,2025-07-28,05. ASK,3347101.0,4232327.0
Reg. MG,fixo,2026-07-27,2025-07-28,06. RPK,151226.0,264676.0
Reg. MG,fixo,2026-07-27,2025-07-28,07. Load Factor,0.045181188138631014,0.06253675578470189
Reg. MG,fixo,2026-07-27,2025-07-28,08. Ticket Médio,126.61518382352942,138.1621846846847
Reg. MG,fixo,2026-07-27,2025-07-28,09. GMV,34797.8,61955.6
Reg. MG,fixo,2026-07-28,2025-07-29,01. RASK,0.010124029920808618,0.008160021509371366
Reg. MG,fixo,2026-07-28,2025-07-29,02. Yield,0.21416357801238348,0.20043183026436617
Reg. MG,fixo,2026-07-28,2025-07-29,03. Grupos Realizados,68.0,118.0
Reg. MG,fixo,2026-07-28,2025-07-29,04. Pax Total,159.0,210.0
Reg. MG,fixo,2026-07-28,2025-07-29,05. ASK,1968396.0,3116781.0
Reg. MG,fixo,2026-07-28,2025-07-29,06. RPK,92543.0,124146.0
Reg. MG,fixo,2026-07-28,2025-07-29,07. Load Factor,0.04701442189478133,0.039831479978862806
Reg. MG,fixo,2026-07-28,2025-07-29,08. Ticket Médio,124.64993710691826,118.48957142857144
Reg. MG,fixo,2026-07-28,2025-07-29,09. GMV,19928.1,25433.000000000004
Reg. MG,fixo,2026-07-29,2025-07-30,01. RASK,0.012022788426966415,0.007547896427357457
Reg. MG,fixo,2026-07-29,2025-07-30,02. Yield,0.20783666118985955,0.22598388362114885
Reg. MG,fixo,2026-07-29,2025-07-30,03. Grupos Realizados,65.0,117.0
Reg. MG,fixo,2026-07-29,2025-07-30,04. Pax Total,177.0,186.0
Reg. MG,fixo,2026-07-29,2025-07-30,05. ASK,1885694.0,3141988.0
Reg. MG,fixo,2026-07-29,2025-07-30,06. RPK,107727.0,103249.0
Reg. MG,fixo,2026-07-29,2025-07-30,07. Load Factor,0.05712856911036467,0.032861042117283704
Reg. MG,fixo,2026-07-29,2025-07-30,08. Ticket Médio,126.49502824858756,125.44413978494622
Reg. MG,fixo,2026-07-29,2025-07-30,09. GMV,22671.299999999996,23715.399999999998
Reg. MG,fixo,2026-07-30,2025-07-31,01. RASK,0.009611640063088877,0.00991108197353694
Reg. MG,fixo,2026-07-30,2025-07-31,02. Yield,0.19736756448283393,0.21376577861702345
Reg. MG,fixo,2026-07-30,2025-07-31,03. Grupos Realizados,113.0,163.0
Reg. MG,fixo,2026-07-30,2025-07-31,04. Pax Total,260.0,332.0
Reg. MG,fixo,2026-07-30,2025-07-31,05. ASK,3027475.0,4313636.0
Reg. MG,fixo,2026-07-30,2025-07-31,06. RPK,141937.0,194884.0
Reg. MG,fixo,2026-07-30,2025-07-31,07. Load Factor,0.04688296352571037,0.04517859179587708
Reg. MG,fixo,2026-07-30,2025-07-31,08. Ticket Médio,107.74523076923079,125.48051204819275
Reg. MG,fixo,2026-07-30,2025-07-31,09. GMV,29099.0,42752.799999999996
Reg. MG,fixo,2026-07-31,2025-08-01,01. RASK,0.008598867865234958,0.0105379510005566
Reg. MG,fixo,2026-07-31,2025-08-01,02. Yield,0.1822967503180294,0.21307344513495802
Reg. MG,fixo,2026-07-31,2025-08-01,03. Grupos Realizados,125.0,182.0
Reg. MG,fixo,2026-07-31,2025-08-01,04. Pax Total,277.0,397.0
Reg. MG,fixo,2026-07-31,2025-08-01,05. ASK,3423974.0,4692788.0
Reg. MG,fixo,2026-07-31,2025-08-01,06. RPK,155646.0,227367.0
Reg. MG,fixo,2026-07-31,2025-08-01,07. Load Factor,0.045457704994255214,0.048450302890307426
Reg. MG,fixo,2026-07-31,2025-08-01,08. Ticket Médio,102.4323465703971,122.02989924433248
Reg. MG,fixo,2026-07-31,2025-08-01,09. GMV,29442.300000000003,49452.369999999995
Reg. MG,fixo,2026-08-01,2025-08-02,01. RASK,0.005962317309385456,0.00965122829717559
Reg. MG,fixo,2026-08-01,2025-08-02,02. Yield,0.18359331476323115,0.20641091464745687
Reg. MG,fixo,2026-08-01,2025-08-02,03. Grupos Realizados,46.0,97.0
Reg. MG,fixo,2026-08-01,2025-08-02,04. Pax Total,71.0,202.0
Reg. MG,fixo,2026-08-01,2025-08-02,05. ASK,1220985.0,2476233.0
Reg. MG,fixo,2026-08-01,2025-08-02,06. RPK,39131.0,114525.0
Reg. MG,fixo,2026-08-01,2025-08-02,07. Load Factor,0.03204871476717568,0.046249686519806495
Reg. MG,fixo,2026-08-01,2025-08-02,08. Ticket Médio,101.18577464788733,117.02579207920792
Reg. MG,fixo,2026-08-01,2025-08-02,09. GMV,7279.9,23898.69
Reg. MG,fixo,2026-08-02,2025-08-03,01. RASK,0.01145902258264115,0.00923267090771587
Reg. MG,fixo,2026-08-02,2025-08-03,02. Yield,0.23145597874878557,0.2477730645659208
Reg. MG,fixo,2026-08-02,2025-08-03,03. Grupos Realizados,123.0,183.0
Reg. MG,fixo,2026-08-02,2025-08-03,04. Pax Total,287.0,319.0
Reg. MG,fixo,2026-08-02,2025-08-03,05. ASK,3308249.0,4720530.0
Reg. MG,fixo,2026-08-02,2025-08-03,06. RPK,162626.0,174922.0
Reg. MG,fixo,2026-08-02,2025-08-03,07. Load Factor,0.04915772664028614,0.0370555848601746
Reg. MG,fixo,2026-08-02,2025-08-03,08. Ticket Médio,131.15247386759583,135.86507836990594
Reg. MG,fixo,2026-08-02,2025-08-03,09. GMV,37909.3,43583.1
Reg. SP,geral,2026-07-02,2025-07-03,01. RASK,0.017408991774863165,0.016171586708057604
Reg. SP,geral,2026-07-02,2025-07-03,02. Yield,0.18956272602506438,0.205815819015828
Reg. SP,geral,2026-07-02,2025-07-03,03. Grupos Realizados,147.0,167.0
Reg. SP,geral,2026-07-02,2025-07-03,04. Pax Total,586.0,506.0
Reg. SP,geral,2026-07-02,2025-07-03,05. ASK,3328820.0,3543771.0
Reg. SP,geral,2026-07-02,2025-07-03,06. RPK,299469.0,269018.0
Reg. SP,geral,2026-07-02,2025-07-03,07. Load Factor,0.08996250923750758,0.0759129187523686
Reg. SP,geral,2026-07-02,2025-07-03,08. Ticket Médio,96.87399317406141,109.42324110671937
