output_label,periodo_historico,periodo_atual,secao,data_atual,data_ref_julho_2025,metrica,julho_2025,julho_2026
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,05. Pax Total,628.0,955.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,06. ASK,6476830.0,7908472.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,07. RPK,320542.0,494860.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,08. Load Factor,0.04949056868869493,0.0625734022956647
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,09. Ticket Médio,99.83566878980892,104.56114136125655
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-06,2025-07-07,10. GMV,64206.2,103871.97
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,01. RASK,0.01080786299527807,0.010331030424962516
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,02. Yield,0.17390170029265778,0.20173635017435473
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,03. Buscas,3091.0,3141.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,04. Grupos Realizados,173.0,269.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,05. Pax Total,482.0,563.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,06. ASK,4393542.0,6322440.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,07. RPK,264131.0,314015.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,08. Load Factor,0.06011800956949996,0.04966674258672285
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,09. Ticket Médio,95.29632780082989,112.51907637655418
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-07,2025-07-08,10. GMV,47484.8,65317.32
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,01. RASK,0.01247771202226116,0.020164064083158247
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,02. Yield,0.19264181165246974,0.2169210834782101
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,03. Buscas,3752.0,6198.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,04. Grupos Realizados,192.0,277.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,05. Pax Total,575.0,1052.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,06. ASK,4921936.0,6558291.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,07. RPK,312157.0,582679.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,08. Load Factor,0.06342158857815298,0.08884616434372918
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,09. Ticket Médio,104.58172173913044,120.14768060836502
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-08,2025-07-09,10. GMV,61414.50000000001,132241.8
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,01. RASK,0.01386869715310481,0.016235060367706756
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,02. Yield,0.20195835443415056,0.2080722294600837
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,03. Buscas,6657.0,5812.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,04. Grupos Realizados,281.0,364.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,05. Pax Total,853.0,1150.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,06. ASK,7046062.0,8371943.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,07. RPK,469966.0,631709.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,08. Load Factor,0.06669910085945881,0.0754554826758854
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,09. Ticket Médio,111.27029308323561,114.29660869565221
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-09,2025-07-10,10. GMV,97719.7,135919.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,01. RASK,0.015108794589285527,0.016826160855133634
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,02. Yield,0.2242257994441906,0.2244225522367209
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,03. Buscas,9675.0,8941.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,04. Grupos Realizados,349.0,433.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,05. Pax Total,994.0,1289.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,06. ASK,8171638.0,9691304.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,07. RPK,533996.0,701518.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,08. Load Factor,0.06534748602422183,0.07238633727721264
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,09. Ticket Médio,120.458430583501,122.13844840961988
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-10,2025-07-11,10. GMV,123463.59999999998,163067.44000000003
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,01. RASK,0.015925438489473406,0.011831507310969835
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,02. Yield,0.2006573099567976,0.20712892808522562
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,03. Buscas,4723.0,3772.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,04. Grupos Realizados,186.0,305.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,05. Pax Total,647.0,662.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,06. ASK,3934416.0,6370769.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,07. RPK,306233.0,353321.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,08. Load Factor,0.07783442320283367,0.05545970980897283
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,09. Ticket Médio,94.97355486862443,110.54833836858006
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-11,2025-07-12,10. GMV,62657.3,75375.8
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,01. RASK,0.015678007858772706,0.019409254160704433
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,02. Yield,0.2409075456153304,0.26260659460061847
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,03. Buscas,7973.0,8567.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,04. Grupos Realizados,357.0,456.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,05. Pax Total,1066.0,1408.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,06. ASK,8412255.0,9967603.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,07. RPK,537703.0,717860.0
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,08. Load Factor,0.06391900863680428,0.07201932099422499
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,09. Ticket Médio,121.51661350844277,133.8883309659091
julho_2026,julho_2025,julho_2026,resultado_por_dia,2026-07-12,2025-07-13,10. GMV,131887.40000000002,193463.74
