regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,02. Yield,0.24714528627858803,0.25678728727832634,0.26135754572513153,0.28317214722802886
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,03. Grupos Realizados,63.0,60.0,61.0,72.0
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,04. Pax Total,934.0,830.0,701.0,1007.0
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,05. ASK,1609794.0,1526928.0,1578345.0,1827299.0
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,06. RPK,476948.0,446828.0,370912.0,513299.0
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,07. Load Factor,0.2962789027664409,0.29263200360462316,0.23500058605691404,0.2809058616022884
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,08. Ticket Médio,126.20497858672377,138.24066265060242,138.2890870185449,144.34158887785503
Reg. MG,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,09. GMV,120706.59999999999,118643.18000000002,100580.28,149012.30000000002
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.14545748403991138,0.18875917792387373,0.1630954671346006,0.18784742837328552
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.30502166954966214,0.4128121205217649,0.39165098022441497,0.39220066509886786
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,262.0,168.0,186.0,214.0
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,6199.0,3783.0,3847.0,5039.0
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,6666473.0,4333224.0,4764205.0,5401581.0
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,3132737.0,1913812.0,1940423.0,2536465.0
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.4699242012980477,0.4416600665001394,0.40729208755710555,0.469578258661677
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,154.1462606872076,208.84081152524453,197.548367559137,197.42076999404642
Reg. MG,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,969688.3900000002,817935.7999999999,777020.24,1014673.1000000001
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,0.04113370705490235,0.07131342694047889,0.06336887059606883,0.060694079101032375
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,0.217433884949594,0.2590996862615942,0.2482982106538526,0.24871213743959422
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,156.0,130.0,128.0,144.0
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,1498.0,1751.0,1571.0,1684.0
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,4158711.0,3473524.0,3295039.0,3724806.0
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,773122.0,935174.0,827006.0,891679.0
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,0.18590423811608933,0.2692291747516355,0.2509851931949819,0.239389380279134
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,112.2182376502003,138.37994860079954,130.70917250159138,131.69322446555813
Reg. MG,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,171063.20000000007,247708.9,208802.90000000005,226073.66999999995
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.12640653097869,0.24751630632564128,0.22277496705615238,0.2275801579267058
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.31013567256955865,0.3815217330398862,0.41307196483386427,0.37895371259187527
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,83.0,20.0,41.0,45.0
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,1764.0,622.0,1114.0,1375.0
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,2236602.0,535835.0,1095804.0,1234750.0
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,894138.0,321239.0,567819.0,710474.0
Reg. MG,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.39977519469266326,0.5995110435115287,0.5181756956536023,0.575399068637376
