regional,slot,data,data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,5247.0,3595.0,4564.0,4205.0
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,5497245.0,3850059.0,4465191.0,4148088.0
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,2514463.0,1626229.0,2093617.0,1985349.0
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.4574042088355167,0.42239066985726714,0.4688751276261195,0.47861785960182135
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,136.39955974842766,156.34366620305985,152.38182515337425,156.92209988109394
Reg. SP,geral,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,738918.2999999998,587976.8699999999,724729.6,698197.5
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,01. RASK,0.05906693732557764,0.04924990613319184,0.06699787264714639,0.07271889908690113
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,02. Yield,0.21978134798223578,0.2311357679583846,0.24228446098066717,0.24049897179921548
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,03. Grupos Realizados,197.0,189.0,187.0,198.0
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,04. Pax Total,2531.0,1983.0,2565.0,2583.0
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,05. ASK,3940507.0,3747331.0,3711185.0,3811745.0
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,06. RPK,1026334.0,774137.0,989612.0,1103870.0
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,07. Load Factor,0.2604573472398349,0.20658356574319162,0.26665660698671717,0.28959702183645547
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,08. Ticket Médio,89.12250888976689,90.23234997478568,93.47665107212477,102.77955865272939
Reg. SP,geral,2026-06-04,2025-06-19,2026-04-03,2026-05-01,09. GMV,232753.68,184555.7,248641.50000000003,277185.8999999999
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,01. RASK,0.03570663111602306,0.047832676047140414,0.05377551293570046,0.04357944993075133
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,02. Yield,0.18701745674450823,0.21907332272528884,0.2260559200977634,0.20691273247846217
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,03. Grupos Realizados,187.0,128.0,130.0,208.0
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,04. Pax Total,1728.0,1176.0,1373.0,1953.0
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,05. ASK,3785773.0,2388863.0,2390748.0,4010186.0
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,06. RPK,698813.0,510933.0,558082.0,817979.0
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,07. Load Factor,0.184589250332759,0.21388124810840972,0.23343405494849312,0.20397532683022682
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,08. Ticket Médio,75.63092013888891,95.18009353741499,91.88473415877641,86.66168458781362
Reg. SP,geral,2026-06-05,2025-06-20,2026-04-04,2026-05-02,09. GMV,135177.2,114265.71,128563.7,174761.69999999998
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,01. RASK,0.05063841523633319,0.04315073549335212,0.04925487573870629,0.06939611168240087
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,02. Yield,0.2237962268566535,0.21752012247606659,0.22424888231537193,0.25978519695275
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,03. Grupos Realizados,141.0,126.0,127.0,143.0
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,04. Pax Total,1340.0,1050.0,1234.0,1513.0
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,05. ASK,2559776.0,2343529.0,2344978.0,2424339.0
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,06. RPK,564039.0,456579.0,505733.0,633883.0
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,07. Load Factor,0.22034701473878965,0.19482541073739645,0.21566641563375008,0.2614663213354238
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,08. Ticket Médio,94.20134328358208,94.58582857142858,91.90442463533225,108.83900859220091
Reg. SP,geral,2026-06-06,2025-06-21,2026-04-04,2026-05-02,09. GMV,129623.00000000003,101125.00000000001,115501.60000000002,168239.7
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.11370342769252428,0.13895784753527937,0.12991740593453657,0.1552126382767343
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.30041324306929595,0.37058011115155803,0.33497916679495576,0.3643832239293921
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,300.0,218.0,229.0,243.0
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,5230.0,3611.0,3999.0,4356.0
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,6278597.0,4356234.0,4684477.0,4716719.0
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,2343052.0,1604296.0,1786331.0,1945390.0
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.37318082367764643,0.36827590069771277,0.38132986884128156,0.4124456004269069
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,134.58582217973233,164.6414261977292,149.63332583145788,162.7335812672177
Reg. SP,geral,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,713897.9999999999,605332.9000000001,608595.1000000001,732094.4
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,0.04930940999069588,0.05759065139299021,0.05501995934812122,0.06203525855583955
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,0.22089770985494406,0.2537487002453936,0.24331757601715331,0.2527607564621356
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,182.0,174.0,167.0,173.0
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,1813.0,1723.0,1648.0,1826.0
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,3864956.0,3466356.0,3396153.0,3428331.0
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,844226.0,769376.0,756474.0,823412.0
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,0.21843094720871337,0.2219552752227411,0.22274438165771684,0.24017867586297822
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,102.86132928847213,113.30711549622748,111.68896844660193,113.97932092004383
Reg. SP,geral,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,190578.69999999995,199629.69999999998,186856.19999999995,212677.39999999997
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.09869244877722048,0.1801171260228899,0.16018223624015504,0.13765097955448116
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.29268424823852557,0.3524829901115848,0.3407374087319327,0.3563402076371419
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,62.0,12.0,28.0,23.0
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,958.0,273.0,557.0,384.0
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,1528812.0,280211.0,713689.0,575823.0
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,502420.0,132276.0,322128.0,213064.0
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.3286342598043448,0.4720585558739664,0.45135626302212867,0.3700164807588443
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,153.49730688935284,170.78769230769228,197.0575583482945,197.71684895833334
Reg. SP,extra,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,150882.2,50470.8,114320.29999999999,79262.6
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.06709864628707062,0.12127456242960553,0.09678705055701471,0.10934934687457812
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.28037245408786055,0.40056845881918424,0.28820528002386453,0.3831562277435829
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,65.0,15.0,26.0,26.0
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,692.0,193.0,355.0,306.0
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,1533560.0,322291.0,663627.0,614813.0
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,364555.0,94765.0,221249.0,172703.0
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.23771811993009728,0.29403551448845916,0.3333936081563891,0.28090329905190686
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,147.70401734104044,196.68326424870463,179.62008450704226,216.24911764705882
Reg. SP,extra,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,102899.8,39085.7,64230.5,67229.4
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,,,,0.0066229656419529844
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,,,,0.27816455696202536
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,,,,1.0
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,,,,1.0
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,,,,13272.0
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,,,,316.0
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,,,,0.023809523809523808
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,,,,87.9
Reg. SP,extra,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,,,,87.9
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,01. RASK,0.06429731947653206,0.11212144402146736,0.09897865078409052,0.08354495281304555
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,02. Yield,0.20829205648862337,0.2783181788066306,0.25765732142219194,0.24130923082819508
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,03. Grupos Realizados,123.0,132.0,114.0,117.0
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,04. Pax Total,1759.0,2380.0,2008.0,1730.0
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,05. ASK,2902642.0,2914001.0,2581781.0,2605699.0
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,06. RPK,869414.0,1132005.0,951714.0,861017.0
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,07. Load Factor,0.29952505338240126,0.3884710403325188,0.3686269284652726,0.3304360941152451
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,08. Ticket Médio,102.95169414440022,132.3771302521008,122.11956175298802,120.09904624277459
Reg. SP,fixo,2026-06-02,2025-06-17,2026-04-01,2026-04-29,09. GMV,186632.1,326722.0,255541.2,217693.00000000003
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,01. RASK,0.15223220487998362,0.15087609541149616,0.1635597819393818,0.17275596909313276
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,02. Yield,0.2837802004665318,0.34463870481755976,0.33092319993334085,0.32856668686193785
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,03. Grupos Realizados,176.0,171.0,177.0,181.0
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,04. Pax Total,4181.0,3313.0,3941.0,3804.0
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,05. ASK,3771652.0,3550264.0,3694569.0,3559209.0
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,06. RPK,1956137.0,1490817.0,1752199.0,1766090.0
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,07. Load Factor,0.5186419637866908,0.4199172230572149,0.4742634391183383,0.496202948464111
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,08. Ticket Médio,132.7703779000239,155.08398430425598,147.13100735853843,152.54425341745534
Reg. SP,fixo,2026-06-03,2025-06-18,2026-04-02,2026-04-30,09. GMV,574166.9,535649.97,604282.8999999999,614874.5999999997
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,01. RASK,0.05995602589592081,0.04951046493858144,0.06616079430696957,0.07303158407819942
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,02. Yield,0.2184887242640953,0.23084706613094197,0.24026324666456778,0.24049897179921548
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,03. Grupos Realizados,179.0,185.0,183.0,194.0
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,04. Pax Total,2383.0,1979.0,2509.0,2583.0
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,05. ASK,3733561.0,3716792.0,3674247.0,3795425.0
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,06. RPK,993505.0,772785.0,978284.0,1103870.0
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,07. Load Factor,0.26610118329391164,0.2079172038682821,0.2662542828503364,0.29084226404157637
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,08. Ticket Médio,91.09091061686948,90.14408792319354,93.6810243124751,102.77955865272938
Reg. SP,fixo,2026-06-04,2025-06-19,2026-04-03,2026-05-01,09. GMV,223849.48,184020.09999999998,243091.1,277185.89999999997
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,01. RASK,0.035787882670350636,0.04783267604714042,0.05377551293570046,0.04378922443763741
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,02. Yield,0.18705743743752365,0.21907332272528884,0.2260559200977634,0.20691273247846223
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,03. Grupos Realizados,185.0,128.0,130.0,204.0
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,04. Pax Total,1718.0,1176.0,1373.0,1953.0
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,05. ASK,3769857.0,2388863.0,2390748.0,3990975.0
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,06. RPK,697263.0,510933.0,558082.0,817979.0
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,07. Load Factor,0.18495741350401354,0.21388124810840972,0.23343405494849312,0.20495718464786175
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,08. Ticket Médio,75.91864377182773,95.18009353741498,91.8847341587764,86.66168458781362
Reg. SP,fixo,2026-06-05,2025-06-20,2026-04-04,2026-05-02,09. GMV,134915.2,114265.71,128563.69999999998,174761.69999999995
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,01. RASK,0.05230125924532065,0.04315073549335212,0.0492548757387063,0.06919598339652772
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,02. Yield,0.22393653876870598,0.21752012247606653,0.22424888231537188,0.2584771747999485
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,03. Grupos Realizados,134.0,126.0,127.0,137.0
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,04. Pax Total,1298.0,1050.0,1234.0,1447.0
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,05. ASK,2396753.0,2343529.0,2344978.0,2399739.0
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,06. RPK,544679.0,456579.0,505733.0,628713.0
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,07. Load Factor,0.22725704317466172,0.19482541073739645,0.21566641563375008,0.2619922416562801
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,08. Ticket Médio,93.97036209553157,94.58582857142858,91.90442463533225,112.30681409813407
Reg. SP,fixo,2026-06-06,2025-06-21,2026-04-04,2026-05-02,09. GMV,125353.2,101125.00000000001,115501.6,166052.30000000005
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,01. RASK,0.13451457646624676,0.1406651415760896,0.13662251610474008,0.1623969439703264
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,02. Yield,0.30579402351496965,0.36845640023267184,0.3418856730290327,0.3616054197117141
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,03. Grupos Realizados,217.0,200.0,198.0,207.0
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,04. Pax Total,4409.0,3413.0,3601.0,3988.0
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,05. ASK,4476668.0,4018122.0,3959859.0,4060170.0
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,06. RPK,1938765.0,1507703.0,1554034.0,1762972.0
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,07. Load Factor,0.4330821494915415,0.37522578956039665,0.3924468017674367,0.4342113753857597
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,08. Ticket Médio,134.4664889997732,162.76672135950778,147.5428936406554,159.85462136409228
Reg. SP,fixo,2026-06-07,2025-06-22,2026-04-05,2026-05-03,09. GMV,602177.0999999999,565209.7000000001,541005.8999999999,659359.2000000002
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,01. RASK,0.04971474662664881,0.05769712350183592,0.05524470089377223,0.06238464956612443
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,02. Yield,0.22149628272815428,0.2536262687343541,0.24309552112612598,0.25241252933523023
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,03. Grupos Realizados,181.0,172.0,166.0,168.0
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,04. Pax Total,1802.0,1722.0,1645.0,1823.0
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,05. ASK,3803636.0,3456564.0,3370993.0,3400399.0
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,06. RPK,835290.0,768975.0,754587.0,822390.0
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,07. Load Factor,0.2196030324668291,0.2224680347304433,0.2238470978729413,0.24185102983502818
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,08. Ticket Médio,102.67127081021088,113.2591521486643,111.51168389057753,113.86809654415796
Reg. SP,fixo,2026-06-08,2025-06-23,2026-04-06,2026-05-04,09. GMV,189096.79999999996,199433.80000000002,186229.5,212132.69999999995
